GENE	BF
CTBP2	-0.203
CTBS	-9.681
CTC-534A2.2	-4.224
CTC1	2.741
CTCF	9.367
CTCFL	-8.460
CTD-2368P22.1	-9.630
CTD-2616J11.4	-5.684
CTDNEP1	15.562
CTDP1	1.582
CTDSP1	-1.307
CTDSP2	4.861
CTDSPL	-7.761
CTDSPL2	-0.940
CTF1	-14.723
CTGF	-7.590
CTH	-7.024
CTHRC1	-5.894
CTIF	-14.043
CTLA4	-11.954
CTNNA1	1.118
CTNNA2	-10.654
CTNNA3	-13.132
CTNNAL1	-14.595
CTNNB1	-6.370
CTNNBIP1	-14.539
CTNNBL1	9.594
CTNND1	-1.080
CTNND2	-9.690
CTNS	-5.757
CTPS1	-6.722
CTPS2	-11.261
CTR9	10.901
CTRB1	-2.000
CTRB2	-10.304
CTRC	-4.467
CTRL	4.050
CTSA	-6.500
CTSB	-11.866
CTSC	-5.154
CTSD	-6.316
CTSE	-9.297
CTSF	3.492
CTSG	-10.150
CTSH	-2.685
CTSK	-8.610
CTSL	-7.841
CTSO	-6.998
CTSS	-2.063
CTSV	-11.465
CTSW	-4.804
CTSZ	-11.849
CTTN	-11.681
CTTNBP2	-11.507
CTTNBP2NL	-7.256
CTU1	4.237
CTU2	16.044
CTXN1	-8.590
CTXN2	-10.452
CTXN3	-10.799
CUBN	-12.508
CUEDC1	-10.948
CUEDC2	0.943
CUL1	3.508
CUL2	8.325
CUL3	-11.693
CUL4A	-12.603
CUL4B	-10.986
CUL5	-8.025
CUL7	-4.846
CUL9	-11.013
CUTA	-11.291
CUTC	-10.502
CUX1	-10.031
CUX2	-5.894
CUZD1	1.704
CWC22	2.082
CWC25	-4.164
CWC27	-6.637
CWF19L1	1.517
CWF19L2	3.945
CWH43	-8.935
CX3CL1	-4.139
CX3CR1	-4.688
CXADR	-11.557
CXCL1	-9.072
CXCL10	-14.304
CXCL11	-6.688
CXCL12	-11.750
CXCL13	-3.872
CXCL16	-7.322
CXCL17	-5.799
CXCL3	-2.943
CXCL5	-10.900
CXCL6	-4.144
CXCL9	-14.459
CXCR1	-11.156
CXCR2	-4.792
CXCR3	-2.488
CXCR4	-11.305
CXCR5	-3.028
CXCR6	-13.012
CXXC1	2.004
CXXC11	-2.508
CXXC4	-11.828
CXXC5	-7.627
CXorf21	-7.597
CXorf22	-9.766
CXorf23	-8.133
CXorf24	-9.942
CXorf27	-10.222
CXorf28	-3.796
CXorf31	-8.193
CXorf36	-11.755
CXorf38	-4.634
CXorf48	-8.061
CXorf56	4.945
CXorf57	9.739
CXorf58	-12.846
CXorf61	-14.797
CXorf64	-15.636
CXorf65	-8.189
CXorf66	-10.381
CYB561	-9.186
CYB561A3	10.115
CYB561D1	-9.868
CYB561D2	0.645
CYB5A	-10.323
CYB5B	-3.872
CYB5D1	-14.221
CYB5D2	-5.823
CYB5R1	-8.668
CYB5R2	-5.706
CYB5R3	-11.112
CYB5R4	-10.832
CYB5RL	-15.921
CYBA	2.956
CYBB	-7.825
CYBRD1	-5.379
CYC1	-1.322
CYCS	-1.012
CYFIP1	15.017
CYFIP2	-5.907
CYGB	-9.061
CYHR1	4.339
CYLC1	-9.888
CYLC2	-14.197
CYLD	-4.310
CYP11A1	-11.128
CYP11B1	-11.362
CYP11B2	-0.138
CYP17A1	-3.402
CYP19A1	-8.261
CYP1A1	-15.108
CYP1A2	-9.972
CYP1B1	-9.188
CYP20A1	-7.463
CYP21A2	-9.935
CYP24A1	-6.636
CYP26A1	-6.529
CYP26B1	-3.846
CYP26C1	-4.028
CYP27A1	-4.400
CYP27B1	-0.639
CYP27C1	-3.592
CYP2A13	-7.155
CYP2A6	-4.437
CYP2A7	-4.360
CYP2B6	-2.491
CYP2C18	-9.087
CYP2C19	-10.784
CYP2C8	-11.870
CYP2C9	-11.364
CYP2D6	-12.537
CYP2E1	-6.762
CYP2F1	-6.711
CYP2J2	-5.218
CYP2R1	-8.295
CYP2S1	-5.696
CYP2U1	-8.343
CYP2W1	-4.977
CYP39A1	-9.081
CYP3A4	-2.656
CYP3A43	-5.324
CYP3A5	-0.806
CYP3A7	-3.520
CYP46A1	-4.394
CYP4A11	-7.944
CYP4A22	-1.100
CYP4B1	-8.893
CYP4F11	-12.885
CYP4F12	-2.112
CYP4F2	-9.271
CYP4F22	-9.299
CYP4F3	-10.200
CYP4V2	-13.844
CYP4X1	-17.082
CYP4Z1	-10.960
CYP51A1	-6.923
CYP7A1	-15.030
CYP7B1	-13.152
CYP8B1	-7.342
CYR61	-10.063
CYS1	-8.380
CYSLTR1	-7.129
CYSLTR2	-5.597
CYSTM1	-8.257
CYTH1	-4.904
CYTH2	1.269
CYTH3	-4.272
CYTH4	-5.960
CYTIP	-7.374
CYTL1	-13.460
CYYR1	-8.844
CYorf17	-12.473
D2HGDH	-2.527
DAAM1	-11.902
DAAM2	-7.227
DAB1	-9.748
DAB2	-9.682
DAB2IP	-10.154
DACH1	-15.238
DACH2	-8.228
DACT1	-10.066
DACT2	-11.192
DACT3	-6.362
DAD1	5.929
DAG1	-0.185
DAGLA	-5.172
DAGLB	-3.573
DAK	2.388
DALRD3	-8.744
DAND5	-6.859
DAO	-1.535
DAOA	-4.114
DAP	-9.825
DAP3	2.297
DAPK1	-9.989
DAPK2	3.026
DAPK3	-8.090
DAPP1	-5.284
DARC	-1.425
DARS	2.306
DARS2	-0.181
DAW1	-11.909
DAXX	2.605
DAZAP1	4.860
DAZAP2	2.255
DAZL	-10.057
DBF4	4.232
DBF4B	-3.681
DBH	-10.129
DBI	-3.274
DBN1	-9.498
DBNDD1	-7.040
DBNDD2	-11.412
DBNL	-12.123
DBP	-2.095
DBR1	22.719
DBT	-12.649
DBX1	-4.687
DBX2	-10.048
DCAF10	-12.327
DCAF11	-7.222
DCAF12	-0.457
DCAF12L1	-7.709
DCAF12L2	-6.871
DCAF13	8.211
DCAF15	-5.157
DCAF16	-11.796
DCAF17	-6.760
DCAF4	-2.435
DCAF4L1	-11.503
DCAF4L2	-9.914
DCAF5	-10.089
DCAF6	-5.056
DCAF7	1.983
DCAF8	-11.478
DCAF8L1	-13.276
DCAF8L2	-8.577
DCAKD	-9.591
DCBLD1	-10.327
DCBLD2	-16.803
DCC	-13.196
DCD	-5.270
DCDC1	-10.799
DCDC2	-6.028
DCDC2B	-4.080
DCHS1	5.714
DCHS2	-8.174
DCK	-8.091
DCLK1	-6.581
DCLK2	-11.397
DCLK3	-11.719
DCLRE1A	-2.258
DCLRE1B	11.066
DCLRE1C	-5.362
DCN	-3.474
DCP1B	2.894
DCP2	2.481
DCPS	5.227
DCST1	-8.898
DCST2	-3.043
DCSTAMP	-15.719
DCT	-7.227
DCTD	-15.192
DCTN1	2.794
DCTN2	5.356
DCTN3	0.290
DCTN4	6.282
DCTN5	4.209
DCTN6	4.379
DCTPP1	-0.813
DCUN1D1	-0.959
DCUN1D2	-7.460
DCUN1D3	-5.741
DCUN1D4	-9.500
DCUN1D5	-4.476
DCX	-8.092
DCXR	-6.309
DDA1	2.385
DDAH1	-10.464
DDAH2	-9.066
DDB1	14.932
DDC	-5.561
DDHD1	-7.787
DDHD2	-3.796
DDI1	-7.709
DDI2	1.408
DDIT3	-5.179
DDIT4	-1.154
DDIT4L	-12.180
DDN	8.372
DDO	0.087
DDOST	14.910
DDR1	-4.570
DDR2	-6.163
DDRGK1	1.632
DDTL	1.197
DDX1	-0.570
DDX10	16.700
DDX11	15.305
DDX18	14.447
DDX19A	3.340
DDX19B	-0.903
DDX20	5.225
DDX21	9.682
DDX23	11.713
DDX24	9.557
DDX25	-3.773
DDX26B	-10.173
DDX27	5.464
DDX28	-2.983
DDX31	3.759
DDX39A	-11.119
DDX39B	2.302
DDX3X	8.047
DDX3Y	-13.983
DDX4	-12.387
DDX41	12.695
DDX42	-1.301
DDX43	-9.723
DDX46	11.713
DDX47	0.279
DDX49	-3.206
DDX5	9.962
DDX50	1.858
DDX51	14.686
DDX52	13.826
DDX53	-8.842
DDX54	10.342
DDX55	5.782
DDX56	10.165
DDX58	-12.657
DDX59	9.997
DDX6	14.134
DDX60	-13.155
DDX60L	-8.051
DEAF1	-2.354
DEC1	-11.423
DECR1	-9.409
DECR2	-1.011
DEDD	-2.957
DEDD2	-7.837
DEF6	-8.115
DEF8	-1.811
DEFA4	-12.128
DEFA5	-9.309
DEFA6	-10.657
DEFB1	-10.030
DEFB108B	-2.187
DEFB112	-8.232
DEFB113	-7.369
DEFB114	-1.430
DEFB115	-7.316
DEFB116	-10.639
DEFB118	0.053
DEFB119	-8.533
DEFB121	-6.523
DEFB123	-4.642
DEFB124	-10.047
DEFB125	-1.814
DEFB126	-16.424
DEFB127	-7.496
DEFB128	-9.089
DEFB129	-9.973
DEFB130	-1.806
DEFB131	-1.266
DEFB132	-5.186
DEFB134	-11.572
DEFB135	-5.532
DEFB136	-5.850
DEGS1	-9.688
DEGS2	-9.529
DEK	-4.730
DENND1A	-10.214
DENND1B	-10.321
DENND1C	-9.529
DENND2A	-4.169
DENND2C	-9.072
DENND2D	-4.029
DENND3	-10.668
DENND4A	-10.705
DENND4B	-3.680
DENND4C	-5.454
DENND5A	-9.200
DENND5B	-6.683
DENND6A	-12.378
DENND6B	-10.291
DENR	3.886
DEPDC1	1.620
DEPDC1B	-7.852
DEPDC4	-5.312
DEPDC5	-4.199
DEPDC7	-10.131
DEPTOR	-7.446
DERA	-2.473
DERL1	-3.388
DERL2	-9.104
DERL3	-5.088
DES	0.268
DESI1	-5.855
DESI2	-1.521
DET1	1.078
DEXI	16.767
DFFA	-7.217
DFFB	-12.775
DFNA5	-8.772
DFNB31	-3.120
DFNB59	-4.586
DGAT1	-7.550
DGAT2	-8.038
DGAT2L6	-9.516
DGCR14	2.553
DGCR2	-4.414
DGCR8	8.081
DGKA	-9.648
DGKB	-5.679
DGKD	-14.709
DGKE	-9.374
DGKG	-8.513
DGKH	-7.974
DGKI	-6.064
DGKQ	-13.577
DGKZ	-4.518
DGUOK	-7.371
DHCR24	-11.348
DHCR7	-7.074
DHDDS	10.004
DHDH	-3.083
DHFR	-5.381
DHFRL1	-4.830
DHH	-11.703
DHODH	-0.098
DHPS	16.695
DHRS1	-9.582
DHRS11	-8.365
DHRS12	-10.534
DHRS13	-8.315
DHRS2	-11.156
DHRS3	-10.531
DHRS4	-8.831
DHRS4L2	-11.441
DHRS7	-8.208
DHRS7B	-7.306
DHRS7C	-2.087
DHRS9	-12.046
DHTKD1	-7.018
DHX15	11.071
DHX16	0.180
DHX29	-3.380
DHX30	-2.701
DHX32	-4.766
DHX33	11.715
DHX34	-7.639
DHX35	14.366
DHX36	12.244
DHX37	12.451
DHX38	3.172
DHX40	2.840
DHX57	-1.891
DHX58	-1.682
DHX8	10.661
DHX9	6.653
DIABLO	-1.762
DIAPH1	-5.807
DIAPH2	-8.521
DIAPH3	-7.069
DICER1	2.829
DIDO1	7.688
DIEXF	9.368
DIMT1	17.290
DIO1	-7.775
DIO2	-5.697
DIO3	-14.334
DIP2A	-6.534
DIP2B	-8.389
DIP2C	-10.070
DIRAS1	-10.086
DIRAS2	-13.156
DIRAS3	-8.676
DIRC1	-11.592
DIRC2	-1.865
DIRC3	-9.980
DIS3	14.420
DIS3L	-3.402
DIS3L2	-8.422
DISC1	-2.016
DISP1	-10.312
DISP2	-1.353
DIXDC1	-8.969
DKC1	13.887
DKK1	-13.444
DKK2	-10.154
DKK3	-4.675
DKK4	-6.588
DKKL1	-6.032
DLAT	-7.307
DLC1	-13.339
DLD	-4.550
DLEC1	-2.295
DLEU1	-7.690
DLEU7	-7.802
DLG1	-2.641
DLG2	-10.055
DLG3	-2.568
DLG4	-5.717
DLG5	-0.952
DLGAP1	-12.861
DLGAP2	-6.261
DLGAP3	1.090
DLGAP4	-4.642
DLGAP5	1.477
DLK1	-8.627
DLK2	-11.410
DLL1	-8.774
DLL3	2.313
DLL4	-8.924
DLST	3.227
DLX1	-9.125
DLX2	-6.121
DLX3	-6.093
DLX4	-6.406
DLX5	-8.911
DLX6	-6.272
DMAP1	7.927
DMBT1	-8.309
DMBX1	-8.881
DMC1	-7.317
DMD	-8.083
DMGDH	-10.864
DMKN	-6.933
DMP1	-6.767
DMPK	-7.191
DMRT1	-9.595
DMRT2	-5.906
DMRT3	-10.650
DMRTA1	-9.868
DMRTA2	0.918
DMRTB1	-8.352
DMRTC2	-7.631
DMTF1	-9.033
DMTN	-11.066
DMWD	-6.652
DMXL1	-7.332
DMXL2	-10.641
DNA2	5.657
DNAAF1	-9.174
DNAAF2	-5.378
DNAAF3	-5.125
DNAH1	-6.969
DNAH10	-6.920
DNAH10OS	-3.440
DNAH11	-3.768
DNAH12	-10.029
DNAH14	-12.025
DNAH17	-9.224
DNAH2	-9.128
DNAH3	-4.302
DNAH5	-10.036
DNAH6	-8.392
DNAH7	-13.642
DNAH8	-13.010
DNAH9	-9.010
DNAI1	-3.767
DNAI2	-0.990
DNAJA1	3.467
DNAJA2	-6.554
DNAJA3	20.133
DNAJA4	6.123
DNAJB1	-0.522
DNAJB11	-3.625
DNAJB12	2.936
DNAJB13	-5.420
DNAJB14	-5.971
DNAJB2	-3.432
DNAJB4	-10.288
DNAJB5	-5.620
DNAJB6	1.520
DNAJB7	-8.838
DNAJB8	-6.804
DNAJB9	-5.289
DNAJC1	-4.569
DNAJC10	0.108
DNAJC11	5.185
DNAJC12	-3.478
DNAJC13	-2.040
DNAJC14	-5.907
DNAJC15	-11.875
DNAJC16	-8.357
DNAJC17	17.347
DNAJC18	-5.414
DNAJC19	-2.292
DNAJC2	-1.766
DNAJC21	1.648
DNAJC22	-7.563
DNAJC24	5.332
DNAJC25	-10.689
DNAJC27	-9.407
DNAJC28	-8.946
DNAJC3	-6.918
DNAJC30	-8.795
DNAJC4	3.637
DNAJC5	-10.104
DNAJC5B	-13.310
DNAJC5G	-12.297
DNAJC6	-10.716
DNAJC7	-6.948
DNAJC8	7.883
DNAJC9	5.882
DNAL1	-7.958
DNAL4	-6.562
DNALI1	-2.501
DNASE1	-3.116
DNASE1L1	-5.301
DNASE1L2	-14.176
DNASE1L3	-10.240
DNASE2	8.237
DNASE2B	-12.619
DND1	10.595
DNER	-2.876
DNHD1	-6.055
DNLZ	4.771
DNM1	2.433
DNM1L	-2.409
DNM2	3.372
DNM3	-10.148
DNMBP	-5.665
DNMT1	0.114
DNMT3A	-6.655
DNMT3B	-3.814
DNMT3L	1.785
DNPEP	-3.771
DNPH1	-0.810
DNTT	-10.549
DNTTIP1	5.446
DNTTIP2	4.587
DOC2A	-10.221
DOC2B	-10.872
DOCK1	-5.693
DOCK10	-2.329
DOCK11	-8.414
DOCK2	-7.257
DOCK3	-12.229
DOCK4	-8.019
DOCK5	5.062
DOCK6	-8.420
DOCK7	11.839
DOCK8	-8.978
DOCK9	-12.436
DOHH	1.849
DOK1	-6.051
DOK2	-5.916
DOK3	-6.312
DOK4	-7.171
DOK5	-17.938
DOK6	-6.680
DOK7	-6.029
DOLK	5.973
DOLPP1	4.192
DONSON	-0.354
DOPEY1	-11.252
DOPEY2	-10.026
DOT1L	-5.754
DPAGT1	14.095
DPCD	-8.276
DPEP1	-6.629
DPEP2	-6.727
DPEP3	-9.917
DPF1	0.452
DPF2	9.851
DPF3	-8.174
DPH1	8.110
DPH2	3.464
DPH3	4.902
DPH5	13.282
DPH6	-1.201
DPH7	-6.090
DPM1	-2.537
DPM2	4.391
DPM3	0.436
DPP10	-12.347
DPP3	-6.915
DPP4	-14.636
DPP6	-7.577
DPP7	1.701
DPP8	-7.497
DPP9	-6.608
DPPA2	-2.825
DPPA3	-0.643
DPPA4	-7.227
DPPA5	-4.262
DPRX	-4.667
DPT	-12.009
DPY19L1	5.417
DPY19L2	6.789
DPY19L3	-10.983
DPY19L4	-9.856
DPY30	1.365
DPYD	-13.436
DPYS	-7.049
DPYSL2	-11.031
DPYSL3	-4.802
DPYSL4	-5.273
DPYSL5	-9.857
DQX1	-5.309
DR1	3.706
DRAM1	-2.723
DRAM2	-6.007
DRAP1	9.934
DRAXIN	-15.303
DRC1	-6.546
DRD1	-8.088
DRD2	-11.206
DRD3	-2.292
DRD4	-3.568
DRD5	14.271
DRG1	0.453
DRG2	2.095
DRGX	-2.349
DROSHA	13.223
DRP2	-2.196
DSC1	-6.429
DSC2	-11.401
DSC3	-12.547
DSCAM	-9.986
DSCAML1	-9.374
DSCC1	12.853
DSCR3	-6.141
DSCR4	-7.747
DSCR8	-11.928
DSE	-4.229
DSEL	-7.706
DSG1	-5.251
DSG2	-7.488
DSG3	-8.708
DSG4	-10.920
DSN1	2.622
DSP	-9.398
DSPP	-10.299
DST	-9.184
DSTN	7.888
DSTYK	-2.436
DTD1	-4.847
DTD2	-5.836
DTHD1	-13.971
DTL	14.056
DTNA	-3.414
DTNB	-10.848
DTNBP1	-4.911
DTWD1	-4.778
DTWD2	-6.662
DTX1	-14.527
DTX2	1.086
DTX3	-8.724
DTX3L	-7.616
DTX4	-6.377
DTYMK	12.746
DUOX1	-4.161
DUOX2	-7.853
DUOXA1	-5.371
DUOXA2	-1.651
DUPD1	-4.470
DUS1L	-5.313
DUS2	-2.853
DUS3L	-0.936
DUS4L	-10.527
DUSP1	-6.249
DUSP10	-6.589
DUSP11	-5.366
DUSP12	6.701
DUSP13	2.206
DUSP14	-3.163
DUSP15	-6.221
DUSP16	-14.461
DUSP18	-12.999
DUSP19	-5.368
DUSP2	-6.974
DUSP21	-7.566
DUSP22	-3.952
DUSP23	-6.956
DUSP26	-4.534
DUSP27	-4.230
DUSP28	-3.796
DUSP3	-10.614
DUSP4	-10.271
DUSP5	-3.123
DUSP6	-6.161
DUSP7	-11.445
DUSP8	-7.601
DUSP9	-9.650
DUT	20.347
DUXA	-5.725
DVL1	-1.319
DVL2	-6.122
DVL3	-8.702
DXO	-8.485
DYDC1	-2.122
DYDC2	-5.812
DYM	-10.516
DYNAP	-10.096
DYNC1H1	-4.385
DYNC1I1	-6.823
DYNC1I2	13.426
DYNC1LI1	1.236
DYNC1LI2	2.501
DYNC2H1	-13.947
DYNC2LI1	-8.190
DYNLL1	1.541
DYNLL2	-8.294
DYNLRB1	18.320
DYNLRB2	-7.924
DYNLT1	-1.228
DYNLT3	-4.126
DYRK1A	-13.557
DYRK1B	-13.159
DYRK2	-9.211
DYRK3	-7.574
DYRK4	-6.681
DYSF	-8.627
DYTN	-11.859
DYX1C1	-7.483
DZANK1	-15.105
DZIP1	-11.681
DZIP1L	-10.108
DZIP3	-11.236
E2F1	-1.744
E2F2	-9.157
E2F3	-1.953
E2F4	6.163
E2F5	-5.146
E2F6	-0.661
E2F7	-18.507
E2F8	-11.835
E4F1	9.167
EAF1	8.777
EAF2	-16.589
EAPP	-6.142
EARS2	-2.461
EBAG9	-6.435
EBF1	-8.015
EBF2	-13.976
EBF3	-6.186
EBF4	-10.661
EBI3	-5.671
EBLN1	-6.337
EBLN2	-7.875
EBNA1BP2	2.037
EBP	-2.400
EBPL	-5.439
ECD	16.080
ECE1	-7.671
ECE2	-11.910
ECEL1	1.903
ECH1	-10.854
ECHDC1	-7.657
ECHDC2	-5.028
ECHDC3	-9.947
ECHS1	6.912
ECI1	-12.421
ECI2	-10.319
ECM1	-10.567
ECM2	-9.904
ECSIT	-5.163
ECT2	10.381
ECT2L	-10.186
EDA	-7.698
EDA2R	-7.599
EDAR	-8.550
EDARADD	-4.576
EDC3	3.400
EDC4	6.709
EDDM3A	-15.016
EDDM3B	-10.900
EDEM1	-2.730
EDEM2	-10.454
EDEM3	-7.445
EDF1	-10.802
EDIL3	-5.644
EDN1	-10.018
EDN2	-12.234
EDN3	-8.996
EDNRA	-7.881
EDNRB	-8.486
EEA1	-9.689
EED	-1.680
EEF1A1	16.065
EEF1A2	-1.206
EEF1D	-4.462
EEF1E1	-6.950
EEF1G	9.515
EEF2	2.772
EEF2K	-8.798
EEFSEC	5.981
EEPD1	-11.675
EFCAB1	-10.715
EFCAB10	1.348
EFCAB11	-13.511
EFCAB12	-8.946
EFCAB13	-8.773
EFCAB14	-7.325
EFCAB2	-11.921
EFCAB3	-4.537
EFCAB4A	-2.126
EFCAB4B	-9.847
EFCAB5	-6.515
EFCAB6	-13.405
EFCAB7	-0.466
EFCAB9	-6.596
EFCC1	-10.152
EFEMP1	-11.758
EFEMP2	-2.402
EFHB	-7.917
EFHC1	-9.861
EFHC2	-5.986
EFHD1	-8.015
EFHD2	-6.346
EFNA1	-9.977
EFNA2	-2.777
EFNA3	0.852
EFNA4	-4.463
EFNA5	-7.436
EFNB1	-11.510
EFNB2	-8.725
EFNB3	-4.758
EFR3A	-3.595
EFR3B	-4.140
EFS	-3.144
EFTUD1	5.162
EFTUD2	10.708
EGF	-9.996
EGFL6	-7.134
EGFL7	-7.668
EGFL8	-4.877
EGFLAM	-8.433
EGFP	-83.161
EGFR	2.622
EGLN1	8.264
EGLN2	-8.354
EGLN3	-6.465
EGR1	-4.077
EGR2	-9.509
EGR3	-6.995
EGR4	-7.524
EHBP1	-4.696
EHBP1L1	-4.932
EHD1	-1.020
EHD2	-6.815
EHD3	-7.907
EHD4	-11.738
EHF	-7.790
EHHADH	-9.645
EHMT1	-11.476
EHMT2	-5.830
EID1	-11.108
EID2	-4.206
EID2B	-4.849
EID3	-10.092
EIF1	-6.562
EIF1AD	10.481
EIF1AX	6.302
EIF1AY	-17.892
EIF1B	-13.777
EIF2A	-0.803
EIF2AK1	-1.798
EIF2AK2	-7.997
EIF2AK3	-3.955
EIF2AK4	-3.246
EIF2B1	2.561
EIF2B2	12.030
EIF2B3	1.830
EIF2B4	3.613
EIF2B5	11.566
EIF2D	-4.902
EIF2S1	-0.259
EIF2S2	12.437
EIF2S3	9.248
EIF2S3L	-13.996
EIF3A	10.481
EIF3B	18.922
EIF3D	12.905
EIF3E	10.565
EIF3F	12.606
EIF3G	16.423
EIF3H	10.049
EIF3I	7.858
EIF3J	-0.939
EIF3K	-3.720
EIF3L	-5.313
EIF3M	17.125
EIF4A1	10.123
EIF4A2	-9.978
EIF4A3	8.119
EIF4B	6.271
EIF4E	19.707
EIF4E1B	-11.727
EIF4E2	-5.932
EIF4E3	-7.376
EIF4EBP1	-7.682
EIF4EBP2	0.206
EIF4EBP3	-8.697
EIF4ENIF1	5.768
EIF4G1	10.905
EIF4G3	0.169
EIF4H	13.257
EIF5	8.776
EIF5A	6.819
EIF5A2	-9.489
EIF5AL1	6.802
EIF5B	7.590
EIF6	-0.328
ELAC1	-9.053
ELAC2	15.473
ELANE	-3.703
ELAVL1	6.967
ELAVL2	-6.047
ELAVL3	-6.911
ELAVL4	-7.465
ELF1	-5.772
ELF2	-5.163
ELF3	-8.870
ELF4	-1.494
ELF5	-2.926
ELFN1	-13.376
ELFN2	-10.479
ELK1	-8.143
ELK3	3.033
ELK4	-6.942
ELL	2.127
ELL2	-7.863
ELL3	-4.351
ELMO1	-8.878
ELMO2	14.031
ELMO3	-2.406
ELMOD1	-4.782
ELMOD2	-9.651
ELMOD3	-9.533
ELMSAN1	-8.550
ELN	-1.415
ELOF1	4.045
ELOVL1	0.331
ELOVL2	-5.471
ELOVL3	-3.468
ELOVL4	-6.824
ELOVL5	-11.526
ELOVL6	-7.915
ELOVL7	-10.512
ELP2	8.121
ELP3	12.024
ELP4	12.028
ELP5	22.953
ELP6	11.974
ELSPBP1	-4.865
ELTD1	-5.821
EMB	-1.784
EMC1	13.976
EMC10	-9.825
EMC2	2.836
EMC3	-1.255
EMC4	14.538
EMC6	2.704
EMC7	0.266
EMC8	-6.567
EMC9	0.380
EMCN	-7.530
EMD	-4.873
EME1	-2.380
EME2	2.069
EMID1	-11.520
EMILIN1	-10.102
EMILIN2	-6.816
EMILIN3	-4.647
EML1	-9.030
EML2	-13.385
EML3	4.062
EML4	-10.574
EML5	-13.383
EML6	-6.176
EMP1	-10.301
EMP2	-4.250
EMP3	-10.301
EMR1	-8.683
EMR2	-6.660
EMR3	-15.309
EMX1	-3.559
EMX2	-5.058
EN1	-12.346
EN2	-0.056
ENAH	-11.412
ENAM	-6.357
ENC1	-10.899
ENDOD1	-9.146
ENDOG	-3.192
ENDOU	-8.988
ENDOV	-9.265
ENG	-11.121
ENGASE	-12.601
ENHO	-12.034
ENKD1	-2.020
ENKUR	-7.380
ENO1	11.592
ENO2	-5.064
ENO3	-6.938
ENO4	-7.724
ENOPH1	1.473
ENOSF1	-10.924
ENOX1	-12.511
ENOX2	-3.973
ENPEP	-7.873
ENPP1	-9.019
ENPP2	-1.901
ENPP3	-9.868
ENPP4	-5.428
ENPP5	-13.542
ENPP6	-12.268
ENPP7	2.684
ENSA	-5.900
ENTHD1	-3.641
ENTHD2	-9.047
ENTPD1	-7.236
ENTPD2	-0.912
ENTPD3	-7.277
ENTPD4	-8.317
ENTPD5	-0.542
ENTPD6	0.726
ENTPD7	-5.195
ENTPD8	-12.790
ENY2	5.688
EOGT	-5.465
EOMES	-8.661
EP300	-26.637
EP400NL	5.069
EPAS1	-4.624
EPB41	-6.344
EPB41L1	-7.653
EPB41L2	-7.418
EPB41L3	-11.149
EPB41L4A	-13.862
EPB41L4B	-15.840
EPB41L5	-7.278
EPB42	-13.223
EPC1	-9.638
EPC2	0.539
EPCAM	-2.861
EPDR1	-4.794
EPG5	-5.783
EPGN	-7.664
EPHA1	-2.146
EPHA10	-8.484
EPHA2	-19.078
EPHA3	-7.141
EPHA4	-9.063
EPHA5	-4.700
EPHA6	-8.444
EPHA7	-11.396
EPHA8	-10.414
EPHB1	-12.256
EPHB2	-6.255
EPHB3	-12.299
EPHB4	-7.236
EPHB6	-4.330
EPHX1	-7.650
EPHX2	-8.962
EPHX3	-17.130
EPHX4	-10.739
EPM2A	-5.875
EPM2AIP1	-3.755
EPN1	2.131
EPN2	-12.073
EPN3	5.195
EPO	-11.111
EPOR	-4.670
EPPK1	-6.967
EPRS	7.618
EPS15	-9.445
EPS15L1	-0.598
EPS8	-8.972
EPS8L1	-2.015
EPS8L2	-7.968
EPS8L3	-5.647
EPSTI1	-6.584
EPT1	-9.844
EPX	-8.734
EPYC	-12.764
EQTN	-9.804
ERAL1	-6.317
ERAP1	-10.439
ERAP2	-8.404
ERAS	-7.398
ERBB2	-5.763
ERBB2IP	-9.446
ERBB3	-11.053
ERBB4	-9.796
ERC1	-8.875
ERC2	-6.436
ERCC1	0.426
ERCC2	19.051
ERCC3	10.073
ERCC4	-7.610
ERCC5	-7.215
ERCC6	-12.237
ERCC6L	4.474
ERCC6L2	-9.269
ERCC8	-6.085
EREG	-6.355
ERF	-3.518
ERG	-13.056
ERGIC1	-7.367
ERGIC2	-0.346
ERGIC3	3.675
ERH	-0.391
ERI1	-8.497
ERI2	-1.229
ERI3	-7.358
ERICH1	-5.911
ERICH2	-13.998
ERLEC1	-6.193
ERLIN1	-2.350
ERLIN2	-6.891
ERMAP	-6.374
ERMARD	-9.750
ERMN	-5.634
ERMP1	-6.919
ERN1	-6.144
ERN2	-4.888
ERO1L	-8.135
ERO1LB	-10.948
ERP27	-4.853
ERP29	-8.905
ERP44	-4.782
ERRFI1	-7.177
ERV3-1	-3.311
ERVFRD-1	2.772
ERVMER34-1	-2.718
ERVV-1	-1.597
ERVV-2	-9.785
ESAM	-9.697
ESCO1	-5.626
ESCO2	4.656
ESD	-5.086
ESF1	3.545
ESM1	-8.388
ESPL1	-0.866
ESPN	7.496
ESPNL	-6.335
ESR1	-14.819
ESR2	-6.781
ESRP1	-6.243
ESRP2	-4.473
ESRRA	0.221
ESRRB	-8.349
ESRRG	-7.822
ESX1	-12.565
ESYT1	-2.636
ESYT2	-4.769
ESYT3	-3.941
ETAA1	-10.998
ETF1	22.793
ETFA	-8.599
ETFB	-8.586
ETFDH	-5.697
ETHE1	-10.881
ETNK1	-4.638
ETNK2	-5.434
ETNPPL	-2.596
