GENE	BF
AMACR	-5.747
AMBN	-10.683
AMBP	-11.968
AMBRA1	-1.537
AMD1	-14.095
AMDHD1	-6.454
AMDHD2	-3.197
AMELX	-9.286
AMELY	-16.354
AMER1	-13.110
AMER2	-3.402
AMER3	-4.845
AMFR	-0.407
AMH	-4.515
AMHR2	-3.484
AMICA1	-8.717
AMIGO1	-6.826
AMIGO2	-5.236
AMMECR1	-9.368
AMMECR1L	-6.097
AMN	-7.286
AMN1	-3.581
AMOT	-6.772
AMOTL1	-2.503
AMOTL2	-30.978
AMPD1	-8.833
AMPD2	-4.979
AMPD3	-7.029
AMPH	-14.763
AMT	-9.619
AMTN	-8.239
AMZ1	-8.134
AMZ2	-8.163
ANAPC1	1.785
ANAPC10	-4.209
ANAPC11	11.029
ANAPC13	5.698
ANAPC15	-6.199
ANAPC16	-5.083
ANAPC2	8.183
ANAPC4	6.916
ANAPC5	8.428
ANAPC7	-6.806
ANG	-6.099
ANGEL1	-3.079
ANGEL2	-5.201
ANGPT1	-6.369
ANGPT2	-6.339
ANGPT4	-5.618
ANGPTL1	-8.794
ANGPTL2	-9.606
ANGPTL3	-13.314
ANGPTL4	-1.218
ANGPTL5	-6.988
ANGPTL6	-7.453
ANGPTL7	-7.071
ANHX	-4.385
ANK1	-8.736
ANK2	-4.086
ANK3	-8.606
ANKAR	-9.566
ANKDD1A	-8.197
ANKDD1B	-9.195
ANKEF1	-3.568
ANKFN1	-8.170
ANKFY1	-8.007
ANKH	-1.800
ANKHD1	-4.347
ANKHD1-EIF4EBP3	-11.565
ANKIB1	-6.763
ANKK1	-7.285
ANKLE1	-3.521
ANKLE2	6.477
ANKMY1	-10.796
ANKMY2	-9.805
ANKRA2	2.493
ANKRD1	-5.085
ANKRD10	-6.529
ANKRD11	-3.205
ANKRD12	-8.419
ANKRD13A	3.334
ANKRD13B	-5.304
ANKRD13C	-7.988
ANKRD13D	-8.065
ANKRD16	-3.022
ANKRD17	6.743
ANKRD18A	-1.620
ANKRD18B	-2.806
ANKRD2	-6.023
ANKRD22	-10.481
ANKRD23	-7.571
ANKRD24	-0.709
ANKRD26	-5.289
ANKRD27	-13.553
ANKRD28	-2.773
ANKRD29	-5.617
ANKRD30A	-21.517
ANKRD30B	-10.274
ANKRD30BL	-5.124
ANKRD31	-7.195
ANKRD32	-9.125
ANKRD33	-11.249
ANKRD33B	-8.606
ANKRD34A	-6.860
ANKRD34B	-3.741
ANKRD34C	-5.284
ANKRD35	-12.146
ANKRD36	-4.036
ANKRD36C	-4.086
ANKRD37	-6.839
ANKRD39	-4.244
ANKRD40	-7.827
ANKRD42	-3.433
ANKRD44	-11.277
ANKRD45	-10.973
ANKRD46	-10.661
ANKRD49	9.018
ANKRD50	-6.420
ANKRD52	6.698
ANKRD53	-5.123
ANKRD54	-12.476
ANKRD55	-7.212
ANKRD6	-7.473
ANKRD61	-2.909
ANKRD62	-8.847
ANKRD63	-7.826
ANKRD65	-3.944
ANKRD66	-11.566
ANKRD7	-7.100
ANKRD9	-9.502
ANKS1A	-9.829
ANKS1B	-8.870
ANKS3	-11.209
ANKS4B	-6.146
ANKS6	-10.227
ANKUB1	-5.588
ANKZF1	-6.203
ANLN	2.305
ANO1	-10.003
ANO10	-10.588
ANO2	-8.120
ANO3	-5.761
ANO4	-8.398
ANO5	-10.872
ANO6	-6.740
ANO7	-9.462
ANO8	-9.285
ANO9	-2.599
ANP32A	-5.006
ANP32B	-6.336
ANP32D	-1.409
ANP32E	-6.933
ANPEP	-6.114
ANTXR1	-16.807
ANTXR2	-9.582
ANTXRL	-3.084
ANXA1	-8.188
ANXA10	-9.838
ANXA11	-7.838
ANXA13	-8.331
ANXA2	2.991
ANXA2R	-3.058
ANXA3	-8.992
ANXA4	-7.845
ANXA5	-3.252
ANXA6	-8.510
ANXA7	-4.517
ANXA9	-3.048
AOAH	-0.888
AOC1	-6.077
AOC2	-7.950
AOC3	-4.436
AOX1	-10.420
AP001816.1	-8.297
AP003774.4	-4.767
AP1AR	-7.657
AP1B1	-4.305
AP1G1	-4.767
AP1G2	-0.969
AP1M1	-2.472
AP1M2	-7.939
AP1S1	-6.517
AP1S2	-3.693
AP1S3	1.375
AP2A1	-4.072
AP2A2	-1.580
AP2B1	0.959
AP2M1	-1.103
AP2S1	9.013
AP3B1	-6.391
AP3B2	-6.768
AP3D1	-1.922
AP3M1	0.946
AP3M2	-11.852
AP3S1	-5.519
AP3S2	-10.628
AP4B1	-8.999
AP4E1	-9.082
AP4M1	-8.775
AP4S1	-15.442
AP5B1	1.572
AP5M1	-11.276
AP5S1	-7.732
AP5Z1	-7.845
APAF1	-3.844
APBA1	-11.715
APBA2	-1.713
APBA3	-1.092
APBB1	-5.537
APBB1IP	-8.918
APBB2	-10.748
APBB3	-7.907
APC	-6.461
APC2	2.312
APCDD1	-10.258
APCDD1L	-5.209
APCS	-9.060
APEH	-1.880
APEX1	-2.580
APEX2	25.070
APH1A	-6.056
APH1B	-7.789
API5	16.484
APIP	-11.919
APLF	-8.557
APLN	-13.284
APLNR	-5.848
